지점,지점명,일시,평균기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),평균 전운량(1/10)
192,진주,2012-06-10,22.1,,3.6,1.3,66.8,10.8,3.36,24.85,,4.3
192,진주,2012-06-11,21.5,,3.7,1.2,69.9,6.4,2.29,17.93,,6.9
192,진주,2012-06-12,22.9,,3.5,1.4,68.1,8.8,3,20.58,,4.8
192,진주,2012-06-13,22.1,,3.5,1.4,67.6,5.5,2.14,16.23,,4.8
192,진주,2012-06-14,21.2,,3.2,1.7,65.5,4.4,2.36,14.56,,4.3
192,진주,2012-06-15,19.1,7,2.8,.9,84.1,.1,.47,3.5,,8.5
192,진주,2012-06-16,22,.5,3.2,1.4,74.1,8,2.86,19.68,,4.8
192,진주,2012-06-17,22.8,,2.7,1.1,70.6,7.2,3.01,21.75,,6
192,진주,2012-06-18,20.5,7.5,2.3,.8,85.1,0,1.61,7.41,,9.9
192,진주,2012-06-19,21.9,11,3.8,1.3,75.8,7.8,2.92,17.51,,7.8
192,진주,2012-06-20,21.3,,2.5,1,79.6,.5,1.18,8.31,,8.9
192,진주,2012-06-21,23.1,,3.7,1.3,70.1,10.3,3.27,23.8,,3.8
192,진주,2012-06-22,22.8,,3.6,1.2,70.9,8.8,3.19,23.01,,5
192,진주,2012-06-23,22.9,,3.7,1,70.4,5.1,2.44,16.91,,6.8
192,진주,2012-06-24,22,.1,2.6,1,70.4,.3,1.12,6.26,,8.4
192,진주,2012-06-25,22.3,,4.5,2.4,55.3,10,2.93,21.26,,5.9
192,진주,2012-06-26,21,0,3.8,2.1,63.4,.4,1.23,7.29,,9.4
192,진주,2012-06-27,20.4,,2.9,1.8,68.5,0,.82,5.83,,9.5
192,진주,2012-06-28,23.2,,3.9,1.7,64.3,9.4,3.29,23.27,,6.5
192,진주,2012-06-29,21.8,.5,3.2,1.1,79.4,3.8,3.09,17.2,,8.8
192,진주,2012-06-30,24.1,20.5,2.9,1.3,90,0,.69,4.12,,10
192,진주,2012-07-01,24.1,,3,1.2,77.5,5.1,2.35,16.61,,7.3
192,진주,2012-07-02,24.2,,3.1,1.1,75.8,8.2,3.07,20.85,,6.6
192,진주,2012-07-03,25.5,,4.3,1.4,75.9,9.8,2.94,22.35,,6.5
192,진주,2012-07-04,25.6,,3.7,1.6,76.1,6.1,2.75,19.74,,8.1
192,진주,2012-07-05,24.3,36,2.7,1.1,90.3,.3,1.44,6.78,,10
192,진주,2012-07-06,25,17,3.1,1.6,86.3,.2,.76,3.79,,9.8
192,진주,2012-07-07,22.5,1,3.1,1.3,83.3,2.8,2.37,12.07,,8
192,진주,2012-07-08,23.9,,3.4,1.2,76.4,8.6,2.94,22.57,,4.1
192,진주,2012-07-09,24.2,,3,1.2,81.4,6.6,2.54,17.84,,6.1
192,진주,2012-07-10,23.3,6.5,3,1.2,80.1,1.8,2.53,13.85,,9.1
192,진주,2012-07-11,24.3,70,4.8,1.2,92.8,0,.54,3.11,,9.5
192,진주,2012-07-12,25.5,,3,1.1,81,4.4,2.7,16.98,,8
192,진주,2012-07-13,24.8,19,3.4,1.1,84.1,1.3,1.84,12.9,,9.9
192,진주,2012-07-14,23.4,61.5,4.8,1.3,91.4,.2,1.07,5.03,,10
192,진주,2012-07-15,24.3,20,4.1,1.4,90.6,1.1,2.14,7.88,,9.6
192,진주,2012-07-16,24.4,2,3.1,1,85.3,3.9,2.76,15.88,,8.8
192,진주,2012-07-17,23.3,29.5,2.2,.8,91.5,.1,.74,4.63,,10
192,진주,2012-07-18,25,11,4.2,1.2,88.3,.2,.93,5.05,,9.9
192,진주,2012-07-19,25.7,32.5,7.5,2.2,88,2,1.94,10.79,,9.1
192,진주,2012-07-20,26.9,.1,3.1,1.1,82.4,9.6,2.75,21.83,,5.3
192,진주,2012-07-21,26.5,,3.7,1,81.5,6.7,2.67,18.81,,5.3
192,진주,2012-07-22,25.8,0,3.8,.9,84.8,3.1,1.42,10.6,,7.9
192,진주,2012-07-23,27.1,,3.1,1.3,81,9.4,2.99,21.2,,5.6
192,진주,2012-07-24,27.3,,3.9,1.2,79.5,11.7,3.27,25.22,,4.1
192,진주,2012-07-25,28,,2.9,1,77.8,8.8,3.25,22.63,,3.8
192,진주,2012-07-26,28,,2.9,1.2,76,11.3,3.26,23.44,,3.3
192,진주,2012-07-27,27.6,,2.9,1.2,77.3,11.3,2.72,22.4,,3.9
192,진주,2012-07-28,28.7,,2.7,1.2,75.4,11.4,3.33,26.14,,3.4
192,진주,2012-07-29,28.8,,3.3,1.3,74.9,12.1,3.31,25.39,,3.1
192,진주,2012-07-30,28.7,,4.5,1.6,75.1,12.6,3.17,25.67,,2.5
192,진주,2012-07-31,28.5,,2.5,1,74.1,10.6,3.13,24.09,,2.6
192,진주,2012-08-01,29.4,,4.4,1.8,63.4,11.4,3.3,24.22,,3
192,진주,2012-08-02,28.5,,6.3,2.7,67.3,7.9,3.14,19.71,,5.6
192,진주,2012-08-03,28,,4.6,1.8,69.3,11.8,3.31,25.69,,2.3
192,진주,2012-08-04,28,,4.2,1.4,70.5,11.6,3.12,21.55,,1.8
192,진주,2012-08-05,28.6,,3.6,1.3,69.8,10.6,3.16,22.09,,3.3
192,진주,2012-08-06,28.4,,3.4,1.2,73.3,7.7,2.95,17.03,,4.3
192,진주,2012-08-07,27.7,,3.8,1.6,67.4,11.5,2.81,21.75,,4
192,진주,2012-08-08,26.4,,3.3,1.2,67.6,10.5,2.76,21.4,,7
192,진주,2012-08-09,27.1,,2.3,.9,74.4,5.4,2.35,17.42,,8
192,진주,2012-08-10,26.4,.3,2.6,.9,83.1,1.1,2.2,11.32,,9.1
192,진주,2012-08-11,27.1,.1,3.7,1.2,70.8,9.5,2.82,21.18,,6.6
192,진주,2012-08-12,27.2,3,3.7,1,80.4,5.6,2.25,13.99,,8.5
192,진주,2012-08-13,26.4,16.5,3.6,1.3,88.6,0,.75,3.7,,10
192,진주,2012-08-14,24.7,3.5,2.3,.9,87.4,.3,.79,4.16,,10
192,진주,2012-08-15,27.8,4,5.1,1.7,81.9,7.4,2.51,17.82,,9.1
192,진주,2012-08-16,26.2,9.5,4.7,1.2,87.6,5.1,2.07,12.88,,8.4
192,진주,2012-08-17,27.2,.1,3.3,1,84.3,8.9,3.14,19.57,,6.4
192,진주,2012-08-18,27.6,21,3.2,1.1,83.4,6.1,3.07,17.81,,7.3
192,진주,2012-08-19,28.1,11.5,3.5,1.4,81.8,7.1,2.93,16.35,,6.8
192,진주,2012-08-20,27.3,.1,2.9,1.3,83.5,1.1,1.69,11.71,,8
192,진주,2012-08-21,25.9,25.5,3.3,1.1,87.1,5.9,2.44,14.87,,7.6
192,진주,2012-08-22,24.3,60.5,4.5,1.1,92.4,.8,1.58,7.92,,10
192,진주,2012-08-23,22.4,70,2.1,.8,95,0,.35,1.76,,10
192,진주,2012-08-24,22.8,77.5,3,1,94.4,0,.91,4.69,,10
192,진주,2012-08-25,25.5,,3,1,85,6.5,3.07,18.02,,6.3
192,진주,2012-08-26,26.5,,3.3,1.1,77.8,11.3,2.99,20.14,,4.3
192,진주,2012-08-27,26.5,5.5,5.5,1.9,74.1,.9,1.54,8.84,,8.5
192,진주,2012-08-28,25.7,48,9.5,4.9,78.5,0,.61,2.73,,9.9
192,진주,2012-08-29,26.1,,3.6,1.3,80.3,3.1,2.37,13.64,,7.6
192,진주,2012-08-30,23.7,22,8.5,2.4,85.6,1.6,.52,3.63,,9.1
192,진주,2012-08-31,23.8,,3.8,1.2,64.5,11.8,3.21,21.49,,4.1
192,진주,2012-09-01,23,,2.7,.9,76.6,9.5,3.06,20.65,,5.1
